,Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
659,MOREAUVILLE GAS DEPT,12768,Municipal Owned,LA,1064,0,0,0,0,0,1051,0,0,0,13,0
660,MOREHEAD MUNICIPAL UTILITIES PLANT BOARD,12774,Municipal Owned,KY,1712,0,0,0,0,15,13,1557,12,16,81,18
661,"MORGAN CITY GAS DEPT, CITY OF",12776,Municipal Owned,LA,4894,0,0,0,0,976,0,3374,376,25,122,21
662,"MORGANFIELD GAS SYSTEM, CITY OF",12778,Municipal Owned,KY,2329,0,0,0,1263,270,133,352,187,25,99,0
663,MORGANTOWN NATURAL GAS SYSTEM,12780,Municipal Owned,KY,1496,0,0,0,0,412,216,388,209,133,105,33
664,"MORGANZA, VILLAGE OF",12786,Municipal Owned,LA,589,0,0,0,487,31,23,18,10,12,4,4
665,MORNING SUN MUNICIPAL GAS SYSTEM,12794,Municipal Owned,IA,422,0,0,0,0,205,17,12,146,25,17,0
666,"MORTON GAS SYSTEM, CITY OF",12798,Municipal Owned,TX,998,0,0,0,0,998,0,0,0,0,0,0
667,"MOSS POINT MUNICIPAL GAS SYSTEM, CITY OF",12816,Municipal Owned,MS,2122,115,0,0,0,0,0,0,885,1086,36,0
668,MOULTON MUNICIPAL GAS SYSTEM,12823,Municipal Owned,IA,319,0,0,0,0,0,292,0,14,5,6,2
669,MOULTON GAS SYSTEM,12824,Municipal Owned,AL,2031,0,0,0,0,450,50,26,961,426,118,0
670,"MOULTRIE GAS DEPT, CITY OF",12828,Municipal Owned,GA,2719,2151,0,0,0,0,0,0,0,0,500,68
671,"MOUNDRIDGE GAS DEPT, CITY OF",12846,Municipal Owned,KS,737,0,0,0,0,32,38,75,419,102,71,0
672,MT CARMEL PUBLIC UTILITY CO,12858,Investor Owned,IL,4150,0,0,0,11,1880,1452,157,278,36,297,39
673,DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,CO,3,0,0,0,0,0,1,0,0,2,0,0
674,DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,ID,2376,0,0,0,0,0,0,0,1649,365,299,63
675,DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,UT,960274,0,416,8792,55983,56564,144092,135729,190562,197135,151835,19166
676,DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,WY,31943,0,5,13,66,524,8100,9470,5382,3842,4380,161
677,MOUNTAINEER GAS CO,12878,Privately Owned,WV,218050,25587,14620,7773,24675,23021,14388,22823,28096,30709,22453,3905
678,"MOUNTAINAIR, TOWN OF",12894,Municipal Owned,NM,527,0,0,0,527,0,0,0,0,0,0,0
679,"MULBERRY, CITY OF",12897,Municipal Owned,KS,398,0,0,0,0,0,304,55,22,12,4,1
680,MULGA NATURAL GAS SYSTEM,12900,Municipal Owned,AL,1568,1242,0,0,0,0,0,60,152,72,39,3
681,TWO HARBORS CITY MUNICIPAL GAS DEPT,12903,Municipal Owned,MN,1768,0,0,0,0,0,0,995,505,200,68,0
682,MURRAY NATURAL GAS SYSTEM,12918,Municipal Owned,KY,8760,0,0,0,920,1345,783,1301,2361,962,1039,49
683,"NASHVILLE, CITY OF",13030,Municipal Owned,IL,1618,0,0,0,282,304,305,116,98,148,358,7
684,"NASHVILLE, CITY OF",13050,Municipal Owned,GA,709,667,0,0,0,0,0,0,0,0,42,0
685,NATIONAL FUEL GAS DISTRIBUTION CORP,13061,Investor Owned,PA,193667,13,6364,1903,5127,8061,27441,35418,41218,34815,30323,2984
686,NATIONAL FUEL GAS DISTRIBUTION CORP - NEW YORK,13062,Investor Owned,NY,461825,9,17610,4629,12399,41528,55483,69749,90011,78789,84587,7031
687,NATIONAL FUEL GAS SUPPLY CORP,13063,Investor Owned,NY,0,0,0,0,0,0,0,0,0,0,0,0
688,NATIONAL FUEL GAS SUPPLY CORP,13063,Investor Owned,PA,0,0,0,0,0,0,0,0,0,0,0,0
689,"NAVASOTA, CITY OF",13170,Municipal Owned,TX,2104,0,0,0,25,297,224,359,561,201,372,65
690,NEBRASKA CITY UTILITIES,13180,Municipal Owned,NE,4569,0,0,0,30,661,1494,1239,510,412,192,31
691,"NEODESHA GAS DEPT, CITY OF",13210,Municipal Owned,KS,1307,0,0,0,303,0,0,47,448,491,16,2
692,NEW ALBANY GAS SYSTEM,13226,Municipal Owned,MS,7032,0,0,0,878,1317,1022,1009,1189,449,1066,102
693,"NEW BOSTON GAS DEPT, CITY OF",13250,Municipal Owned,IL,430,0,0,0,0,296,9,59,38,11,16,1
694,NEW FLORENCE NATURAL GAS SYSTEM,13260,Municipal Owned,MO,229,0,0,0,0,146,35,30,15,1,2,0
695,"NEW HARMONY GAS DEPT, TOWN OF",13280,Municipal Owned,IL,0,0,0,0,0,0,0,0,0,0,0,0
696,"NEW HARMONY GAS DEPT, TOWN OF",13280,Municipal Owned,IN,576,0,0,0,0,487,0,7,51,27,4,0
697,NEW HAVEN CITY NATURAL GAS SYSTEM,13290,Municipal Owned,MO,808,0,0,0,0,406,20,37,129,107,103,6
698,NEW JERSEY NATURAL GAS CO,13299,Investor Owned,NJ,536782,0,0,0,8072,90123,19613,81256,96402,87086,137385,16845
699,NATIONAL GAS & OIL CORP,13302,Cooperative,OH,35745,0,2,7,113,1536,4949,5295,7598,8451,6862,932
700,"ENTERGY NEW ORLEANS, LLC",13360,Investor Owned,LA,99676,799,4951,2924,10321,9536,7000,1922,5238,20395,33355,3235
701,"NEW ROADS GAS SYSTEM, TOWN OF",13370,Municipal Owned,LA,2293,0,0,1525,380,20,20,20,21,89,214,4
702,NEW SUMMERFIELD GAS CO,13390,Municipal Owned,TX,797,0,0,0,0,729,25,6,4,16,14,3
703,NEW ULM PUBLIC UTILITIES COMMISSION,13400,Municipal Owned,MN,5794,0,0,0,0,901,1120,1347,1510,671,222,23
704,NEW YORK MILLS MUNICIPAL GAS SYSTEM,13410,Municipal Owned,MN,594,0,0,0,0,142,137,83,90,104,32,6
705,NEW YORK STATE ELECTRIC & GAS CORP,13420,Investor Owned,NY,247634,21025,673,391,8790,21343,14796,32560,59971,45443,40730,1912
706,NEWBERN GAS DEPT,13430,Municipal Owned,TN,2003,0,0,0,0,0,0,1153,592,161,97,0
707,"NEWELLTON, TOWN OF - ST JOSEPH JOINT LINE",13440,Municipal Owned,LA,599,599,0,0,0,0,0,0,0,0,0,0
708,"NEWTON GAS SYSTEM, CITY OF",13460,Municipal Owned,TX,674,0,0,0,0,0,0,0,347,324,3,0
709,NEZPIQUE GAS SYSTEM INC,13470,Cooperative,LA,179,0,0,0,8,60,61,20,9,5,13,3
710,NIAGARA MOHAWK POWER CORP,13480,Investor Owned,NY,570476,0,30027,4196,40576,86898,73531,88174,113324,63737,68517,1496
711,NIAGARA MOHAWK POWER CORP,13480,Investor Owned,RI,193239,5369,15205,4704,6417,9994,12842,24764,29030,27717,55672,1525
712,"NORRIS CITY GAS SYSTEM, VILLAGE OF",13530,Municipal Owned,IL,634,0,0,0,0,0,0,375,257,0,0,2
713,NORTH ALABAMA GAS DISTRICT,13535,Municipal Owned,AL,24393,0,0,0,1066,1176,790,4808,6380,5503,3878,792
714,NORTH CROSSETT GAS & WATER,13610,Municipal Owned,AR,767,0,0,0,0,500,100,100,60,7,0,0
715,NORTH EAST HEAT & LIGHT CO,13620,Privately Owned,PA,2505,0,364,101,152,202,437,303,410,291,232,13
716,NORTHEAST OKLAHOMA PUBLIC FACILITIES AUTH,13630,Municipal Owned,OK,14582,0,0,0,0,3000,4000,3400,1858,1980,241,103
717,NORTHEAST OHIO NATURAL GAS CORP,13635,Privately Owned,OH,32035,1322,0,0,432,704,428,877,8937,6647,11821,867
718,NORGASCO INC,13639,Investor Owned,AK,175,0,0,0,0,0,0,17,72,28,58,0
719,NORTH SHORE GAS CO,13660,Investor Owned,IL,144557,0,1117,66,5846,12281,27861,24629,33655,20716,17536,850
720,NORTHERN ILLINOIS GAS CO,13710,Investor Owned,IL,2040359,443023,45,5,1113,2,118926,355699,437454,388660,268303,27129
721,NORTHERN INDUSTRIAL ENERGY DEVELOPMENT INC,13725,Privately Owned,OH,4,0,0,0,0,0,0,0,2,0,2,0
722,NORTHERN INDIANA PUBLIC SERVICE CO,13730,Investor Owned,IN,885071,0,2161,5666,24559,138329,173074,148358,177723,130803,77847,6551
723,FERRELLGAS,13772,Privately Owned,CA,2506,0,0,0,1644,0,0,326,126,410,0,0
724,FERRELLGAS,13772,Investor Owned,FL,316,0,0,0,0,0,0,0,316,0,0,0
725,FERRELLGAS,13772,Cooperative,TX,1838,0,0,0,0,0,0,0,0,837,995,6
726,FERRELLGAS,13772,Privately Owned,WI,460,0,0,0,0,0,0,0,0,426,34,0
727,NORTHERN STATES POWER CO OF WISCONSIN,13783,Investor Owned,MI,6569,2697,1,0,0,908,772,466,7,46,1672,0
728,NORTHERN STATES POWER CO OF WISCONSIN,13783,Investor Owned,WI,103337,12592,103,3,20,3725,3828,13032,28659,18332,22398,645
729,NORTHERN UTILITIES INC (ME),13795,Investor Owned,ME,23216,0,55,9,142,129,768,1418,5775,5438,8784,698
730,"NORTHERN UTILITIES, INC. (NH)",13800,Investor Owned,NH,24229,0,0,0,56,23,715,3225,7917,5552,6391,350
731,NORTHWEST ALABAMA GAS DISTRICT,13820,Municipal Owned,AL,21567,0,0,0,1969,336,3116,5000,6231,1886,2772,257
732,NORTHWEST NATURAL GAS CO,13840,Privately Owned,OR,648762,112940,18,14,458,13825,33182,65724,186204,148166,80612,7619
733,NORTHWEST NATURAL GAS CO,13840,Privately Owned,WA,84165,2445,0,0,11,372,606,3164,29103,28298,17663,2503
734,"NORWICH DEPT OF PUBLIC UTILITIES, CITY OF",13860,Municipal Owned,CT,7285,0,105,28,23,254,387,1317,1004,1307,2830,30
735,OAK RIDGE UTIL DIST,14010,Municipal Owned,TN,14847,5,0,0,2713,1143,562,2357,3404,3019,1449,195
736,"OBION GAS SYSTEM, TOWN OF",14040,Municipal Owned,TN,466,466,0,0,0,0,0,0,0,0,0,0
737,"OCILLA GAS DEPT, CITY OF",14070,Municipal Owned,GA,518,0,0,0,415,0,12,34,19,17,19,2
738,OHIO CUMBERLAND GAS CO,14121,Privately Owned,OH,1057,51,0,0,0,0,0,47,427,258,215,59
739,OHIO GAS CO,14130,Privately Owned,OH,50788,1712,0,0,3884,9553,6975,6002,10255,7104,4697,606
740,OHIO VALLEY GAS CORP,14180,Investor Owned,IN,34145,10577,0,0,0,0,0,5794,8801,4714,3539,720
741,OHIO VALLEY GAS CORP,14180,Investor Owned,OH,795,358,0,0,0,0,0,120,114,148,48,7
742,OHIO VALLEY GAS INC,14190,Investor Owned,IN,0,0,0,0,0,0,0,0,0,0,0,0
743,OKALOOSA COUNTY GAS DISTRICT,14200,Municipal Owned,FL,55685,0,0,0,4155,5508,3084,4339,13053,10570,12924,2052
744,"OKLAHOMA NATURAL GAS COMPANY, A DIVISION OF ONE GAS, INC.",14210,Investor Owned,OK,1006930,0,22011,9746,51260,69489,85711,148732,211998,228921,165165,13897
745,"OLIVE BRANCH MUNICIPAL GAS, CITY OF",14270,Municipal Owned,MS,18251,0,0,0,300,949,1199,1200,4949,6228,3085,341
746,OLIVE HILL NATURAL GAS SYSTEM,14280,Municipal Owned,KY,645,645,0,0,0,0,0,0,0,0,0,0
747,ONEONTA GAS DEPT,14320,Municipal Owned,AL,3859,0,0,0,1250,856,150,300,500,416,358,29
748,ORANGE & ROCKLAND UTILITY INC,14330,Investor Owned,NY,106326,608,89,76,1044,13812,16087,16915,18599,17636,19616,1844
749,ORANGEBURG PUBLIC UTILITIES,14340,Municipal Owned,SC,10092,0,0,0,1561,3117,1220,1400,1002,1049,671,72
750,ORLANDO PUBLIC WORKS AUTH,14355,Municipal Owned,OK,68,0,0,0,0,67,0,0,0,0,1,0
751,"ORONOGO MUNICIPAL GAS SYSTEM , CITY OF",14360,Municipal Owned,MO,266,0,0,0,0,0,0,237,0,8,6,15
752,OSAGE CITY MUNICIPAL GAS SYSTEM,14370,Municipal Owned,KS,1289,0,0,0,158,43,42,529,240,34,242,1
753,"OSAGE MUNICIPAL GAS UTILITY, TOWN OF",14380,Municipal Owned,IA,2043,1672,0,0,0,0,0,0,0,151,213,7
754,OSGOOD GAS UTILITY,14400,Municipal Owned,IN,954,112,0,0,0,578,30,26,100,46,58,4
755,OWATONNA PUBLIC UTILITIES,14410,Municipal Owned,MN,9824,69,0,0,14,387,1218,1338,4160,1713,761,164
756,PACIFIC GAS & ELECTRIC CO,15007,Investor Owned,CA,3606370,445306,25397,98571,368307,344023,465328,480364,514365,488461,351125,25123
757,PAINTSVILLE CITY GAS SYSTEM,15035,Municipal Owned,KY,2471,0,0,0,0,0,2295,41,0,58,71,6
758,PALATKA GAS AUTH,15042,Municipal Owned,FL,4396,0,0,0,0,846,1215,981,446,204,629,75
759,"PALMER MUNICIPAL SYSTEM, CITY OF",15070,Municipal Owned,KS,102,0,0,0,0,92,3,2,1,2,2,0
760,PALMETTO GAS SYSTEM,15077,Municipal Owned,LA,337,0,0,0,0,320,10,2,4,0,1,0
761,"PALO ALTO, CITY OF",15084,Municipal Owned,CA,17375,303,244,231,1466,87,1522,1232,3353,5410,3318,209
762,"PARIS GAS SYSTEM, CITY OF",15119,Municipal Owned,MO,660,0,0,0,0,594,0,20,20,4,18,4
763,PARIS - HENRY COUNTY PUBLIC UTIL DIST,15126,Municipal Owned,KY,176,0,0,0,0,0,0,150,10,6,10,0
764,PARIS - HENRY COUNTY PUBLIC UTIL DIST,15126,Municipal Owned,TN,8359,0,0,0,1839,350,532,941,2219,64,2253,161
765,PAPCO INC,15132,Privately Owned,PA,1,0,0,0,0,0,0,1,0,0,0,0
766,PARSONS NATURAL GAS SYSTEM,15140,Municipal Owned,TN,4328,3846,0,0,0,0,0,0,7,101,333,41
767,PARTRIDGE GAS DISTRIBUTION SYSTEM,15147,Municipal Owned,KS,126,0,0,0,0,88,0,0,36,0,2,0
768,"PATTERSON GAS DEPT, CITY OF",15161,Municipal Owned,LA,2957,0,0,462,1616,563,280,16,5,11,4,0
769,"PAWNEE GAS SYSTEM, VILLAGE OF",15168,Municipal Owned,IL,1080,0,0,0,688,30,5,70,137,65,72,13
770,"PEARSALL GAS DEPT, CITY OF",15189,Municipal Owned,TX,1012,0,0,0,0,0,0,0,0,0,0,1012
771,"PELHAM NATURAL GAS SYSTEM, CITY OF",15203,Municipal Owned,GA,534,0,0,0,166,14,36,105,158,2,53,0
772,"PENDER MUNICIPAL GAS DEPT, VILLAGE OF",15217,Municipal Owned,NE,432,0,0,0,0,129,137,76,32,36,22,0
773,PEOPLES GAS LIGHT & COKE CO,15329,Investor Owned,IL,507897,0,849,5134,8298,19518,84978,103052,98372,70825,111247,5624
774,PEOPLES GAS SYSTEM INC,15348,Investor Owned,FL,419569,9251,2868,2617,7078,15216,16030,26057,62364,127391,130789,19908
775,PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,KY,3104,2942,0,0,0,0,0,0,0,0,141,21
776,PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,PA,633318,69,59231,7766,32523,62139,98814,90436,105562,91515,73950,11313
777,PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,WV,14945,2,3548,113,117,345,2452,2456,2969,1660,1147,136
778,BLACK HILLS ENERGY,15359,Investor Owned,AR,187512,1061,3092,15348,11242,15349,18191,44580,20730,25957,26229,5733
779,BLACK HILLS ENERGY,15359,Investor Owned,CO,189230,65308,0,0,0,1,394,22412,11182,22295,61206,6432
780,BLACK HILLS ENERGY,15359,Investor Owned,IA,164057,20461,1,1,0,10735,16171,38315,43091,20759,13433,1090
781,BLACK HILLS ENERGY,15359,Investor Owned,KS,103660,17475,7,3448,3150,1578,7884,9625,24100,17992,13368,5033
782,BLACK HILLS ENERGY,15359,Investor Owned,NE,319286,87524,4436,12107,14148,19343,29697,38475,35149,41675,32323,4409
783,BLACK HILLS ENERGY,15359,Investor Owned,WY,155524,0,1058,394,3519,3284,6587,86011,13656,17003,22435,1577
784,PERHAM MUNICIPAL GAS SYSTEM,15371,Municipal Owned,MN,3641,674,0,0,0,0,0,0,1597,462,768,140
785,"PERRY, CITY OF",15385,Municipal Owned,FL,2392,0,0,0,436,623,402,400,316,26,174,15
786,PERRY MUNICIPAL GAS SYSTEM,15392,Municipal Owned,MO,474,0,0,0,0,257,132,12,33,25,12,3
787,"PERRY GAS SYSTEM, CITY OF",15398,Municipal Owned,GA,2862,0,0,0,787,898,330,207,185,347,99,9
788,"PERRYTON, CITY OF",15406,Municipal Owned,TX,3535,966,0,0,0,0,0,1562,708,124,173,2
789,"PERRYVILLE MUNICIPAL SYSTEM, CITY OF",15413,Municipal Owned,MO,3814,3493,0,0,0,0,0,0,0,0,93,228
790,PECO ENERGY CO,15462,Investor Owned,PA,462730,0,2513,1460,3592,33026,67044,87719,104135,66716,86357,10168
791,PHILADELPHIA GAS WORKS,15469,Municipal Owned,PA,476370,0,35369,14943,20211,20506,43932,78670,87399,99491,69335,6514
792,PEOPLES GAS COMPANY LLC,15476,Investor Owned,PA,62569,0,1095,2191,3056,1095,12878,12850,13200,7800,6802,1602
793,"PICAYUNE UTILITIES DEPT, CITY OF",15497,Municipal Owned,MS,2739,2590,0,0,0,0,0,0,0,0,149,0
794,PICKENS COUNTY NATURAL GAS DISTRICT,15504,Municipal Owned,AL,1798,0,0,0,812,324,119,211,151,126,50,5
795,PIEDMONT GAS CO,15515,Privately Owned,OH,1986,0,0,0,0,0,0,168,883,517,388,30
796,PIEDMONT NATURAL GAS CO INC,15518,Investor Owned,NC,834240,150675,0,0,32707,87265,29564,78412,154445,189778,94268,17126
797,PIEDMONT NATURAL GAS CO INC,15518,Investor Owned,SC,165054,6034,0,0,8577,34326,6648,15890,42716,29089,19945,1829
798,PIEDMONT NATURAL GAS CO INC,15518,Investor Owned,TN,195956,484,1,88,6853,10311,13107,25281,66908,44645,25341,2937
799,"PIEDMONT WATER WORKS GAS & SEWER BOARD, CITY OF",15525,Municipal Owned,AL,2327,871,0,0,0,0,0,395,300,435,326,0
800,PIERRE PART NATURAL GAS INC,15532,Investor Owned,LA,1774,1220,0,0,0,0,0,0,246,116,149,43
801,PIKE COUNTY LIGHT & POWER CO,15540,Investor Owned,PA,1037,1,146,33,230,128,40,109,84,128,106,32
802,PIKE NATURAL GAS CO,15546,Privately Owned,OH,7698,0,0,0,629,622,1175,1430,1744,1102,898,98
803,"PIKEVILLE GAS SYSTEM, TOWN OF",15560,Municipal Owned,TN,1459,0,0,0,0,211,326,285,310,235,81,11
804,"PINCKNEYVILLE MUNICIPAL GAS DEPT, CITY OF",15567,Municipal Owned,IL,1696,0,0,0,0,1147,347,48,64,51,36,3
805,"PINELAND GAS DEPT, CITY OF",15581,Municipal Owned,TX,275,0,0,0,0,141,0,134,0,0,0,0
806,"PITTSBORO GAS CO, TOWN OF",15616,Municipal Owned,IN,1004,133,0,0,0,0,0,0,253,308,228,82
807,PITTSFIELD MUNICIPAL GAS UTILITY,15630,Municipal Owned,IL,2267,0,0,0,1024,220,14,208,384,307,82,28
808,"PLAINS, CITY OF",15652,Municipal Owned,TX,529,89,0,0,0,0,0,361,33,35,9,2
809,"PLAQUEMINE, CITY OF",15679,Municipal Owned,LA,3374,3318,0,0,0,0,0,0,0,12,27,17
810,PLATTSBURG GAS DEPT,15686,Municipal Owned,MO,1265,0,0,244,126,214,366,77,117,112,9,0
811,"PLEASANT HILL GAS SYSTEM, VILLAGE OF",15700,Municipal Owned,IL,560,0,0,0,468,50,7,3,6,12,14,0
812,PONCA GAS DEPT,15742,Municipal Owned,NE,340,0,0,0,0,0,0,0,335,0,5,0
813,"PONTOTOC, CITY OF",15755,Municipal Owned,MS,8813,4044,0,0,0,0,0,0,2266,299,1980,224
814,PORT ALLEN MUNICIPAL SYSTEM,15763,Municipal Owned,LA,1643,1270,0,0,0,0,0,0,106,208,53,6
815,PORT BARRE MUNICIPAL SYSTEM,15770,Municipal Owned,LA,728,0,0,175,0,0,0,380,173,0,0,0
816,PORTLAND NATURAL GAS SYSTEM,15784,Municipal Owned,TN,5763,547,0,0,0,0,583,959,1851,1057,686,80
817,POSEYVILLE MUNICIPLE GAS CO,15798,Municipal Owned,IN,471,0,0,0,0,412,0,13,9,5,30,2
818,"POTOSI, CITY OF",15812,Municipal Owned,MO,1155,0,0,0,0,892,8,40,137,51,23,4
819,POWELL CLINCH UTIL DIST,15826,Municipal Owned,TN,17636,0,0,0,0,1714,1758,1335,7694,3224,1669,242
820,"PRAIRIE VIEW GAS SYSTEM (AKA WALLER, CITY OF)",15828,Municipal Owned,TX,235,0,0,0,0,70,0,118,39,6,2,0
821,PRESCOTT MUNICIPAL GAS SYSTEM (CITY OF LENOX),15840,Municipal Owned,IA,113,0,0,0,0,111,0,0,0,0,2,0
822,PRESQUE ISLE ELECTRIC & GAS COOPERATIVE,15845,Cooperative,MI,10513,0,0,0,0,0,0,0,5012,4044,1312,145
823,PRESTON MUNICIPAL GAS UTILITIES,15848,Municipal Owned,IA,481,0,0,0,0,328,25,37,50,30,11,0
824,PRESTONSBURG CITY UTILITIES,15854,Municipal Owned,KY,1068,0,0,0,0,0,0,840,53,116,50,9
825,PRINCETON MUNICIPAL NATURAL GAS SYSTEM,15861,Municipal Owned,MO,622,0,0,0,0,346,68,59,73,59,17,0
826,PROVENCAL NATURAL GAS SERVICE,15889,Municipal Owned,LA,250,0,0,0,0,0,250,0,0,0,0,0
827,"PROVIDENCE, CITY OF",15903,Municipal Owned,KY,1695,1661,0,0,0,0,0,0,0,0,34,0
828,PRYOR MUNICIPAL UTILITY BOARD,15910,Municipal Owned,OK,4300,0,0,0,0,0,1498,1269,956,477,61,39
829,PUBLIC SERVICE CO OF COLORADO,15931,Investor Owned,CO,1162758,20363,5832,13399,93902,109175,185966,157240,213904,187393,169608,5976
830,PUBLIC SERVICE CO OF NORTH CAROLINA,15938,Investor Owned,NC,604099,0,0,446,2541,33677,34870,71743,159169,148816,136168,16669
831,PUBLIC SERVICE ELECTRIC & GAS CO,15952,Investor Owned,NJ,1266852,0,105697,14964,65974,168789,100792,202081,185548,155692,236307,31008
832,PULASKI NATURAL GAS DEPT,15966,Municipal Owned,TN,4670,0,0,0,500,633,298,647,1767,510,292,23
833,"QUINCY MUNICIPAL GAS SYSTEM, CITY OF",16010,Municipal Owned,FL,2152,2087,0,0,0,0,0,0,0,44,17,4
834,"QUITMAN GAS DEPT, CITY OF",16020,Municipal Owned,GA,1007,952,0,0,0,0,0,0,29,12,11,3
835,ENERGY NORTH NATURAL GAS INC,16667,Investor Owned,NH,70224,811,2976,282,472,5816,4643,14982,13533,14313,11782,614
836,ENERGY NORTH NATURAL GAS INC,16667,Investor Owned,NH,31,0,0,0,0,19,10,1,0,0,1,0
837,STERLING NATURAL GAS INC,17058,Investor Owned,TX,214,0,0,0,0,192,0,0,8,10,4,0
838,RAMONA PUBLIC WORKS,17060,Municipal Owned,OK,291,0,0,0,0,255,0,0,36,0,0,0
839,"RANGELY, TOWN OF",17070,Municipal Owned,CO,1126,0,0,0,0,0,0,383,327,324,86,6
840,"RANKIN MUNICIPAL SYSTEM, CITY OF",17080,Municipal Owned,TX,413,413,0,0,0,0,0,0,0,0,0,0
841,"READING, CITY OF",17110,Municipal Owned,KS,120,0,0,0,0,117,0,0,0,0,2,1
842,"RED BAY NATURAL GAS SYSTEM, TOWN OF",17130,Municipal Owned,AL,1470,0,0,0,170,100,378,285,230,160,144,3
843,RED BIRD GAS AUTH,17140,Municipal Owned,OK,88,0,0,0,0,88,0,0,0,0,0,0
844,"RED BUD UTILITIES, CITY OF",17160,Municipal Owned,IL,1756,0,0,0,0,642,255,133,443,203,74,6
845,REEDY CREEK UTILITY CO INC,17180,Privately Owned,FL,647,0,0,0,0,0,77,73,330,89,78,0
846,REKLAW NATURAL GAS SYSTEM,17200,Municipal Owned,TX,1482,0,0,0,0,858,189,173,107,87,54,14
847,"REMSEN MUNICIPAL UTILITIES, TOWN OF",17210,Municipal Owned,IA,760,0,0,592,0,0,45,55,40,8,20,0
848,"RENSSELAER MUNICIPAL GAS SYSTEM, CITY OF",17230,Municipal Owned,IN,3292,0,0,0,0,1517,301,416,555,312,175,16
849,RESERVE GAS CO INC,17240,Privately Owned,NY,864,64,0,0,0,0,104,128,191,191,174,12
850,"RICHLAND GAS DEPT, CITY OF",17350,Municipal Owned,GA,229,0,0,0,19,0,10,42,121,22,15,0
851,"RICHMOND, CITY OF",17360,Municipal Owned,VA,101535,4385,273,1883,1807,1117,5299,17705,21330,27428,18953,1355
852,RICHMOND NATURAL GAS & SEWAGE WKS,17390,Municipal Owned,KY,3900,0,0,0,345,770,846,438,721,551,214,15
853,"RIDGETOP NATURAL GAS DEPT, CITY OF",17400,Municipal Owned,TN,588,0,0,0,0,0,162,150,100,50,126,0
854,HERMAN RIEMER GAS CO,17405,Privately Owned,PA,566,198,0,0,0,0,0,25,168,97,73,5
855,"RIPLEY GAS DEPT, TOWN OF",17470,Municipal Owned,TN,6097,5307,0,0,0,0,0,0,0,352,423,15
856,RIPLEY PUBLIC WORKS AUTH,17475,Municipal Owned,OK,185,0,0,0,0,0,174,11,0,0,0,0
857,RIPLEY GAS SYSTEM,17480,Municipal Owned,MS,6922,3216,0,0,0,0,0,746,1716,796,416,32
858,RISING STAR CITY UTILITIES,17490,Municipal Owned,TX,287,0,0,0,0,0,284,0,0,3,0,0
859,VILLAGE OF RIVERTON,17510,Municipal Owned,IL,1513,0,0,0,522,259,11,182,321,125,90,3
860,ROACHDALE GAS DEPARTMENT,17520,Municipal Owned,IN,402,0,0,0,0,0,0,0,0,28,373,1
861,ROANOKE GAS CO,17540,Investor Owned,VA,63059,2754,0,0,650,4756,3876,8293,18240,11844,11607,1039
862,ROANOKE UTILITIES BOARD,17550,Municipal Owned,AL,1369,0,0,0,0,0,0,1357,0,0,0,12
863,"ROBERTSDALE GAS SYSTEM, CITY OF",17556,Municipal Owned,AL,322,0,0,277,6,6,6,4,3,13,4,3
864,"ROBSTOWN GAS SYSTEM, CITY OF",17560,Municipal Owned,TX,2906,2906,0,0,0,0,0,0,0,0,0,0
865,ROCHESTER GAS & ELECTRIC CORP,17570,Investor Owned,NY,284744,61,1953,320,14919,44982,39077,49710,55351,47953,29176,1242
866,ROCK RAPIDS MUNC UTIL,17583,Municipal Owned,IA,1228,0,0,0,926,0,0,42,134,52,62,12
867,"ROCKFORD GAS BOARD, TOWN OF",17590,Municipal Owned,AL,97,0,0,0,81,0,0,0,9,4,3,0
868,ROCKWOOD NATURAL GAS SYSTEM,17600,Municipal Owned,TN,3474,2934,0,0,0,0,0,0,0,324,196,20
869,"ROCKY MOUNT MUNICIPAL SYSTEM, CITY OF",17610,Municipal Owned,NC,19347,353,0,0,16,867,1817,3263,4585,5379,2952,115
870,ROLFE MUNICIPAL GAS SYSTEM,17640,Municipal Owned,IA,382,0,0,0,0,345,20,0,5,7,5,0
871,"ROMA GAS DEPT, CITY OF",17660,Municipal Owned,TX,1154,0,0,0,0,694,75,100,200,25,60,0
872,"ROODHOUSE ILLINOIS, CITY OF",17670,Municipal Owned,IL,847,0,0,0,69,0,0,726,0,29,22,1
873,ROSSVILLE MUNICIPAL GAS SYSTEM,17690,Municipal Owned,IL,588,0,0,0,552,0,5,5,10,12,4,0
874,"ROYSTON GAS DEPT, CITY OF",17720,Municipal Owned,GA,2171,438,0,0,0,964,137,117,82,190,234,9
875,"ROZEL MUNICIPAL GAS SYSTEM, CITY OF",17730,Municipal Owned,KS,123,0,0,0,0,120,0,0,1,2,0,0
